timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
230687218,0.0,0.0,0.0
230887757,0.0,0.0,0.0
231088856,0.0,0.0,0.0
231289083,0.0,0.0,0.0
231489259,0.0,0.0,0.0
231894391,0.0,0.0,0.0
232094962,0.0,0.0,0.0
232495973,0.0,0.0,0.0
232696560,0.0,0.0,0.0
232901289,0.0,0.0,0.0
233105584,0.0,0.0,0.0
233306196,0.0,0.0,0.0
233506897,0.0,0.0,0.0
233711171,0.0,0.0,0.0
233912006,0.0,0.0,0.0
234112787,0.0,0.0,0.0
234517335,0.0,0.0,0.0
235122561,0.0,0.0,0.0
235929641,0.0,0.0,0.0
236130567,0.0,0.0,0.0
236334085,0.0,0.0,0.0
236535337,0.0,0.0,0.0
236735767,0.0,0.0,0.0
236939349,0.0,0.0,0.0
237140530,0.0,0.0,0.0
237341263,0.0,0.0,0.0
237545582,0.0,0.0,0.0
237746424,0.0,0.0,0.0
237946544,0.0,0.0,0.0
238352015,0.0,0.0,0.0
238552592,0.0,0.0,0.0
238756439,0.0,0.0,0.0
238956944,0.0,0.0,0.0
239158413,0.0,0.0,0.0
239362109,0.0,0.0,0.0
239562591,0.0,0.0,0.0
239763614,0.0,0.0,0.0
239967928,0.0,0.0,0.0
240168337,0.0,0.0,0.0
240373989,0.0,0.0,0.0
240577282,0.0,0.0,0.0
240778150,0.0,0.0,0.0
240983196,0.0,0.0,0.0
241183191,0.0,0.0,0.0
241384278,0.0,0.0,0.0
241588404,0.0,0.0,0.0
241788482,0.0,0.0,0.0
241989254,0.0,0.0,0.0
242194072,0.0,0.0,0.0
242398399,0.0,0.0,0.0
242599216,0.0,0.0,0.0
242800047,0.0,0.0,0.0
243000223,0.0,0.0,0.0
243200137,0.0,0.0,0.0
243405653,0.0,0.0,0.0
243605854,0.0,0.0,0.0
243805982,0.0,0.0,0.0
244007180,0.0,0.0,0.0
244210890,0.0,0.0,0.0
244411707,0.0,0.0,0.0
244616585,0.0,0.0,0.0
244817146,0.0,0.0,0.0
245020848,0.0,0.0,0.0
245222310,0.0,0.0,0.0
245422780,0.0,0.0,0.0
