timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
652670856,inf,0,0,0,0
653677195,inf,0,0,0,0
654684244,inf,0,0,0,0
655690152,inf,0,0,0,0
656691487,inf,0,0,0,0
657698230,inf,0,0,0,0
658710727,inf,0,0,0,0
659721369,inf,0,0,0,0
660725212,inf,0,0,0,0
661734879,inf,0,0,0,0
662738186,inf,0,0,0,0
663759194,inf,0,0,0,0
664771182,inf,0,0,0,0
665772207,inf,0,0,0,0
666785152,inf,0,0,0,0
667803375,inf,0,0,0,0
668817808,inf,0,0,0,0
669821182,inf,0,0,0,0
670829254,inf,0,0,0,0
671014561,inf,0,0,1,0
671300220,inf,0,0,0,1
671629180,inf,1,0,0,0
672638208,inf,1,0,0,0
673648230,inf,1,0,0,0
674658221,inf,1,0,0,0
675668786,inf,1,0,0,0
676670229,inf,1,0,0,0
677683152,inf,1,0,0,0
678692453,inf,1,0,0,0
679701453,inf,1,0,0,0
680709146,inf,1,0,0,0
681719178,inf,1,0,0,0
682729146,inf,1,0,0,0
683739194,inf,1,0,0,0
684755176,inf,1,0,0,0
685767194,inf,1,0,0,0
686771146,inf,1,0,0,0
687779176,inf,1,0,0,0
688781402,inf,1,0,0,0
689787555,inf,1,0,0,0
690806804,inf,1,0,0,0
691820471,inf,1,0,0,0
692829203,inf,1,0,0,0
693839186,inf,1,0,0,0
694851629,inf,1,0,0,0
695865371,inf,1,0,0,0
696877205,inf,1,0,0,0
697886618,inf,1,0,0,0
698890185,inf,1,0,0,0
699898611,inf,1,0,0,0
700917187,inf,1,0,0,0
701929146,inf,1,0,0,0
702937427,inf,1,0,0,0
703948218,inf,1,0,0,0
704950370,inf,1,0,0,0
705960514,inf,1,0,0,0
706968187,inf,1,0,0,0
707978175,inf,1,0,0,0
708987458,inf,1,0,0,0
709993930,inf,1,0,0,0
711008715,inf,1,0,0,0
712018720,inf,1,0,0,0
713029178,inf,1,0,0,0
714032217,inf,1,0,0,0
715037179,inf,1,0,0,0
716055406,inf,1,0,0,0
717061221,inf,1,0,0,0
718075397,inf,1,0,0,0
719087184,inf,1,0,0,0
720100215,inf,1,0,0,0
721106173,inf,1,0,0,0
722119175,inf,1,0,0,0
723135038,inf,1,0,0,0
724146185,inf,1,0,0,0
725159180,inf,1,0,0,0
726170193,inf,1,0,0,0
727177041,inf,1,0,0,0
728188173,inf,1,0,0,0
729195174,inf,1,0,0,0
730202340,inf,1,0,0,0
731212566,inf,1,0,0,0
732228213,inf,1,0,0,0
733239195,inf,1,0,0,0
734248236,inf,1,0,0,0
735257264,inf,1,0,0,0
736263959,inf,1,0,0,0
737270667,inf,1,0,0,0
738286176,inf,1,0,0,0
740289372,inf,1,0,0,0
741295662,inf,1,0,0,0
742302177,inf,1,0,0,0
743315648,inf,1,0,0,0
744329228,inf,1,0,0,0
745333157,inf,1,0,0,0
746342362,inf,1,0,0,0
747353053,inf,1,0,0,0
748362876,inf,1,0,0,0
749372186,inf,1,0,0,0
750374952,inf,1,0,0,0
751381801,inf,1,0,0,0
752392231,inf,1,0,0,0
753401282,inf,1,0,0,0
754412231,inf,1,0,0,0
755426934,inf,1,0,0,0
756433176,inf,1,0,0,0
757438572,inf,1,0,0,0
758451174,inf,1,0,0,0
759459392,inf,1,0,0,0
760468255,inf,1,0,0,0
761473176,inf,1,0,0,0
762485557,inf,1,0,0,0
763493174,inf,1,0,0,0
764505458,inf,1,0,0,0
765515444,inf,1,0,0,0
766525797,inf,1,0,0,0
767537113,inf,0,0,1,0
767597216,inf,0,0,0,0
768602594,inf,0,0,0,0
769605200,inf,0,0,0,0
770612281,inf,0,0,0,0
771625153,inf,0,0,0,0
772632201,inf,0,0,0,0
773638305,inf,0,0,0,0
774644310,inf,0,0,0,0
775657507,inf,0,0,0,0
776659425,inf,0,0,0,0
777672235,inf,0,0,0,0
778673183,inf,0,0,0,0
778776443,inf,0,0,1,0
779066194,inf,0,0,0,1
779394834,inf,1,0,0,0
780402181,inf,1,0,0,0
781403582,inf,1,0,0,0
782411716,inf,1,0,0,0
783414153,inf,1,0,0,0
784417148,inf,1,0,0,0
785419185,inf,1,0,0,0
786425585,inf,1,0,0,0
787436227,inf,1,0,0,0
788441151,inf,1,0,0,0
789444624,inf,1,0,0,0
790456846,inf,1,0,0,0
791468509,inf,1,0,0,0
792478374,inf,1,0,0,0
793483877,inf,1,0,0,0
794490027,inf,1,0,0,0
795498174,inf,1,0,0,0
796507160,inf,1,0,0,0
797511166,inf,1,0,0,0
798524234,inf,1,0,0,0
799531196,inf,1,0,0,0
800535126,inf,1,0,0,0
801549157,inf,1,0,0,0
802556228,inf,1,0,0,0
803570148,inf,1,0,0,0
804576218,inf,1,0,0,0
805590406,inf,1,0,0,0
806601178,inf,1,0,0,0
807610266,inf,1,0,0,0
808623191,inf,1,0,0,0
809631152,inf,1,0,0,0
810637155,inf,1,0,0,0
811653146,inf,1,0,0,0
812661274,inf,1,0,0,0
813669187,inf,1,0,0,0
814685927,inf,1,0,0,0
815686146,inf,1,0,0,0
816694043,inf,1,0,0,0
817710194,inf,1,0,0,0
818715230,inf,1,0,0,0
819732758,inf,1,0,0,0
820750032,inf,1,0,0,0
821759412,inf,1,0,0,0
822779820,inf,1,0,0,0
823790595,inf,1,0,0,0
824738042,inf,0,0,1,0
824820834,inf,0,0,0,0
825822562,inf,0,0,0,0
826829264,inf,0,0,0,0
827831390,inf,0,0,0,0
828833640,inf,0,0,0,0
829849038,inf,0,0,0,0
830854146,inf,0,0,0,0
831855350,inf,0,0,0,0
832861503,inf,0,0,0,0
833875860,inf,0,0,0,0
834369432,inf,0,0,1,0
835379785,inf,0,0,1,0
836380283,inf,0,0,1,0
837391414,inf,0,0,1,0
837474950,inf,0,0,0,0
838485337,inf,0,0,0,0
839494372,inf,0,0,0,0
840501288,inf,0,0,0,0
841509055,inf,0,0,0,0
842523042,inf,0,0,0,0
843530019,inf,0,0,0,0
844269374,inf,0,0,1,0
845288125,inf,0,0,1,0
846302014,inf,0,0,1,0
847313106,inf,0,0,1,0
848314576,inf,0,0,1,0
849325241,inf,0,0,1,0
850332044,inf,0,0,1,0
851347039,inf,0,0,1,0
852356041,inf,0,0,1,0
853373195,inf,0,0,1,0
854381038,inf,0,0,1,0
854527398,inf,0,0,0,0
855536053,inf,0,0,0,0
856541039,inf,0,0,0,0
857553780,inf,0,0,0,0
858133039,inf,0,0,1,0
858565043,inf,0,0,0,0
858937141,inf,0,0,1,0
859477986,inf,0,0,0,0
860488009,inf,0,0,0,0
861499043,inf,0,0,0,0
862510038,inf,0,0,0,0
863522181,inf,0,0,0,0
864538045,inf,0,0,0,0
865543410,inf,0,0,0,0
866557114,inf,0,0,0,0
866661637,inf,0,0,1,0
867672040,inf,0,0,1,0
868682009,inf,0,0,1,0
869690608,inf,0,0,1,0
870699046,inf,0,0,1,0
871700154,inf,0,0,1,0
872707043,inf,0,0,1,0
873717509,inf,0,0,1,0
874727054,inf,0,0,1,0
875729047,inf,0,0,1,0
876738455,inf,0,0,1,0
877749049,inf,0,0,1,0
878758597,inf,0,0,1,0
879770049,inf,0,0,1,0
880770192,inf,0,0,1,0
881787045,inf,0,0,1,0
882801056,inf,0,0,1,0
883813190,inf,0,0,1,0
884818994,inf,0,0,1,0
885827023,inf,0,0,1,0
886833043,inf,0,0,1,0
887854007,inf,0,0,1,0
888861050,inf,0,0,1,0
889874025,inf,0,0,1,0
890877052,inf,0,0,1,0
891886043,inf,0,0,1,0
892896050,inf,0,0,1,0
893903040,inf,0,0,1,0
894910050,inf,0,0,1,0
895915042,inf,0,0,1,0
896930037,inf,0,0,1,0
897935049,inf,0,0,1,0
898939866,inf,0,0,1,0
899947040,inf,0,0,1,0
900967714,inf,0,0,1,0
901983043,inf,0,0,1,0
902992156,inf,0,0,1,0
904012057,inf,0,0,1,0
905022040,inf,0,0,1,0
906034024,inf,0,0,1,0
907040202,inf,0,0,1,0
908050316,inf,0,0,1,0
909052583,inf,0,0,1,0
910062024,inf,0,0,1,0
911081044,inf,0,0,1,0
912098176,inf,0,0,1,0
913109096,inf,0,0,1,0
914119015,inf,0,0,1,0
915134008,inf,0,0,1,0
916146178,inf,0,0,1,0
917153331,inf,0,0,1,0
918162024,inf,0,0,1,0
919172297,inf,0,0,1,0
920189007,inf,0,0,1,0
921205247,inf,0,0,1,0
922211045,inf,0,0,1,0
923223016,inf,0,0,1,0
924234116,inf,0,0,1,0
925244595,inf,0,0,1,0
926255710,inf,0,0,1,0
927263048,inf,0,0,1,0
928274007,inf,0,0,1,0
929283009,inf,0,0,1,0
930284046,inf,0,0,1,0
931287013,inf,0,0,1,0
932306803,inf,0,0,1,0
933311039,inf,0,0,1,0
934326207,inf,0,0,1,0
935340180,inf,0,0,1,0
936346204,inf,0,0,1,0
937355019,inf,0,0,1,0
938359849,inf,0,0,1,0
939367020,inf,0,0,1,0
