timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
175397246,10.255464,10.645714,0.0,0.0,0.0,0.0,0.55159074,1.1038874,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
175890830,10.286032,10.617465,0.0,0.0,0.0,0.0,0.5409625,1.1066124,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
176395612,10.790399,10.643331,0.0,0.0,0.0,0.0,0.55060846,1.1041387,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
176900433,10.790399,10.62229,0.0,0.0,0.0,0.0,0.5418337,1.1063886,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
177393229,10.04149,10.612791,0.0,0.0,0.0,0.0,0.53760225,1.1074767,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
177898010,10.63756,10.622394,0.0,0.0,0.0,0.0,0.53948194,1.1069931,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
178402820,9.965071,10.657822,0.0,0.0,0.0,0.0,0.5502804,1.1042228,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
178895609,10.912669,10.627929,0.0,0.0,0.0,0.0,0.5324896,1.1087943,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
179401222,10.912669,10.638783,0.0,0.0,0.0,0.0,0.53851205,1.1072426,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
179906802,10.576425,10.625388,0.0,0.0,0.0,0.0,0.5361021,1.107863,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
180400445,10.927954,10.654602,0.0,0.0,0.0,0.0,0.553449,1.1034124,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
180905229,10.866818,10.637254,0.0,0.0,0.0,0.0,0.5516594,1.10387,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
181399622,10.301315,10.60693,0.0,0.0,0.0,0.0,0.54276973,1.1061481,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
181904626,10.668128,10.597748,0.0,0.0,0.0,0.0,0.54040176,1.1067566,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
182409227,10.83625,10.6088505,0.0,0.0,0.0,0.0,0.544216,1.1057769,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
182902005,10.056774,10.617145,0.0,0.0,0.0,0.0,0.54643756,1.105207,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
