timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
234053129,0.015598854,-0.058638908,-1.1171042,0.0,0.84775424,-0.00892422,-0.028990822,-0.52952117,0.0,0.0,-0.36309713,1,0,0,0,0,0
234153189,0.012121043,-0.06506398,-1.1171042,0.0,0.8476636,-0.012100547,-0.03079262,-0.52950156,0.0,0.0,-0.36259592,1,0,0,0,0,0
234253210,0.017325455,-0.061452642,-1.1171042,0.0,0.8477323,-0.008937878,-0.030640224,-0.5294632,0.0,0.0,-0.35897896,1,0,0,0,0,0
234353225,0.017828073,-0.060870666,-1.1171042,0.0,0.84774065,-0.008570636,-0.030526686,-0.52946234,0.0,0.0,-0.35943633,1,0,0,0,0,0
234453321,0.013747714,-0.059437137,-1.1171042,0.0,0.8477371,-0.009920356,-0.028838957,-0.52953917,0.0,0.0,-0.36138442,1,0,0,0,0,0
234553445,0.017392598,-0.06487283,-1.1171042,0.0,0.84769464,-0.00981561,-0.032107174,-0.529421,0.0,0.0,-0.3573521,1,0,0,0,0,0
234653360,0.010983676,-0.06258042,-1.1171042,0.0,0.84768647,-0.011924666,-0.029439108,-0.52954584,0.0,0.0,-0.35836646,1,0,0,0,0,0
234753435,0.0086726425,-0.06098322,-1.1171042,0.0,0.8476912,-0.012481063,-0.028150342,-0.5295955,0.0,0.0,-0.35160017,1,0,0,0,0,0
234853448,0.011203374,-0.058499698,-1.1171042,0.0,0.8477341,-0.0107504595,-0.027768007,-0.529585,0.0,0.0,-0.3549635,1,0,0,0,0,0
234953567,0.021905256,-0.049647465,-1.1171042,0.0,0.84785527,-0.0038683831,-0.02685022,-0.52953327,0.0,0.0,-0.36398515,1,0,0,0,0,0
