timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
104260112,-0.22273691,-0.14906551,0.38625333
104281047,-0.22273691,-0.14906551,0.3830974
104303406,-0.2257234,-0.14906551,0.37994146
104326124,-0.22273691,-0.14906551,0.38625333
104348146,-0.2257234,-0.14613548,0.38625333
104370046,-0.2257234,-0.14613548,0.3830974
104393067,-0.2257234,-0.14613548,0.3767855
104415185,-0.22870992,-0.14613548,0.3767855
104437060,-0.2257234,-0.14613548,0.3894093
104460146,-0.2257234,-0.14613548,0.37994146
104481050,-0.22273691,-0.14613548,0.3830974
104502046,-0.2257234,-0.14613548,0.3830974
104524132,-0.2257234,-0.14613548,0.3894093
104547046,-0.22273691,-0.14613548,0.38625333
104568263,-0.2257234,-0.14613548,0.3830974
104591038,-0.2257234,-0.14613548,0.3830974
104613893,-0.2257234,-0.14613548,0.3830974
104636140,-0.22273691,-0.14320545,0.3767855
104659046,-0.2257234,-0.14320545,0.3830974
104680376,-0.22273691,-0.14320545,0.3767855
104704324,-0.2257234,-0.14613548,0.38625333
104726975,-0.2257234,-0.14613548,0.38625333
104750046,-0.2257234,-0.14613548,0.3830974
104773005,-0.2257234,-0.14320545,0.38625333
104796128,-0.22273691,-0.14320545,0.3830974
104819093,-0.2257234,-0.14320545,0.38625333
104841956,-0.2257234,-0.14320545,0.3830974
104864053,-0.22870992,-0.14320545,0.38625333
104887047,-0.2257234,-0.14027543,0.38625333
104908132,-0.22273691,-0.14027543,0.3894093
104931093,-0.22273691,-0.14027543,0.38625333
104953881,-0.2257234,-0.14027543,0.3830974
104976130,-0.2257234,-0.14027543,0.38625333
104999092,-0.2257234,-0.14027543,0.38625333
105021561,-0.2257234,-0.14027543,0.3830974
105043051,-0.22273691,-0.14027543,0.3894093
105065926,-0.2257234,-0.14027543,0.3830974
105088130,-0.2257234,-0.14027543,0.3830974
105110046,-0.22273691,-0.14027543,0.37994146
105132132,-0.22273691,-0.14027543,0.3830974
105155046,-0.2197504,-0.13734539,0.39256525
105177046,-0.2257234,-0.13734539,0.3894093
105199168,-0.2257234,-0.13734539,0.3830974
105222337,-0.2257234,-0.13734539,0.37994146
105244148,-0.22273691,-0.13734539,0.3830974
105266646,-0.2257234,-0.13734539,0.38625333
105288121,-0.2257234,-0.13734539,0.37994146
105310373,-0.22273691,-0.13734539,0.39256525
105333047,-0.22273691,-0.13734539,0.3830974
105356108,-0.2257234,-0.13734539,0.38625333
105378638,-0.2257234,-0.13734539,0.3830974
105401212,-0.22870992,-0.13734539,0.38625333
105424129,-0.22870992,-0.13734539,0.3830974
105446350,-0.22870992,-0.13734539,0.37994146
105468143,-0.22870992,-0.13441537,0.3830974
105490696,-0.2257234,-0.13734539,0.3830974
105512132,-0.22870992,-0.13441537,0.3830974
105534307,-0.22870992,-0.13734539,0.38625333
105557047,-0.2257234,-0.13734539,0.3830974
105580143,-0.22273691,-0.13734539,0.38625333
105602117,-0.22870992,-0.13734539,0.37994146
105624138,-0.22870992,-0.13148534,0.3957212
105646047,-0.22870992,-0.13148534,0.38625333
105669120,-0.22870992,-0.13441537,0.3830974
105690169,-0.22870992,-0.13441537,0.3830974
105713046,-0.2257234,-0.13148534,0.3894093
105735173,-0.2257234,-0.13148534,0.3894093
105759135,-0.2257234,-0.13148534,0.3830974
105779524,-0.2257234,-0.13148534,0.38625333
105802116,-0.22273691,-0.1285553,0.38625333
105823119,-0.2257234,-0.12269525,0.39256525
105847134,-0.2257234,-0.11976522,0.38625333
105869047,-0.22870992,-0.11390517,0.3894093
105891515,-0.22870992,-0.1080451,0.3894093
105914118,-0.22870992,-0.10511508,0.3894093
105938175,-0.23169643,-0.09925502,0.3894093
105960135,-0.23169643,-0.09339496,0.3957212
105981046,-0.2257234,-0.090464935,0.3957212
106004138,-0.22273691,-0.087534904,0.3957212
106025047,-0.22273691,-0.08167485,0.3957212
106046046,-0.21676391,-0.08167485,0.40518904
106067093,-0.21377741,-0.078744814,0.40834498
106089053,-0.2107909,-0.078744814,0.41150096
106111326,-0.20481789,-0.07581478,0.41150096
106135718,-0.1988449,-0.07288476,0.4146569
106157318,-0.19585839,-0.07288476,0.4146569
106180369,-0.1898854,-0.06995473,0.4209688
106203148,-0.17793939,-0.06702471,0.43043664
106225345,-0.17196639,-0.06995473,0.4146569
106248368,-0.17196639,-0.06702471,0.4272807
106271143,-0.16300689,-0.06409468,0.4272807
106293329,-0.15703388,-0.06409468,0.4335926
106315988,-0.15106088,-0.061164644,0.43990448
106339049,-0.14508787,-0.061164644,0.43990448
106361853,-0.14210138,-0.058234613,0.44306046
106386161,-0.13314186,-0.058234613,0.44306046
106410126,-0.12716886,-0.058234613,0.4462164
106433570,-0.12418236,-0.058234613,0.44306046
106456111,-0.118209355,-0.058234613,0.44306046
