timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
284652667,1532984908987170,-1532984624348960,-1532984624340140,28900
284753336,1532984909090094,-1532984624350617,-1532984624340140,27713
284852643,1532984909189908,-1532984624351172,-1532984624340140,27809
284952351,1532984909287874,-1532984624348776,-1532984624340140,26500
285049291,1532984909385659,-1532984624348405,-1532984624340140,23514
285149811,1532984909486169,-1532984624350079,-1532984624340140,27434
285256696,1532984909591416,-1532984624352140,-1532984624340140,34832
285353609,1532984909690728,-1532984624352586,-1532984624340140,30928
285455358,1532984909790919,-1532984624349762,-1532984624340140,28389
285554392,1532984909890881,-1532984624352134,-1532984624340140,31277
285651769,1532984909985514,-1532984624346406,-1532984624340140,24554
285752309,1532984910086643,-1532984624346533,-1532984624340140,24393
285854780,1532984910190362,-1532984624349645,-1532984624340140,28119
285950138,1532984910286908,-1532984624347828,-1532984624340140,22108
286052451,1532984910389021,-1532984624349317,-1532984624340140,25487
286156370,1532984910493533,-1532984624350924,-1532984624340140,27515
286252010,1532984910586584,-1532984624346522,-1532984624340140,22664
286351716,1532984910687266,-1532984624346855,-1532984624340140,22603
286459570,1532984910794805,-1532984624351958,-1532984624340140,33439
286549497,1532984910886438,-1532984624346701,-1532984624340140,19513
286652349,1532984910987397,-1532984624348452,-1532984624340140,26800
286749775,1532984911086700,-1532984624348848,-1532984624340140,23838
286850869,1532984911188167,-1532984624350278,-1532984624340140,25462
286949225,1532984911285021,-1532984624347492,-1532984624340140,23386
287049384,1532984911385007,-1532984624347021,-1532984624340140,22788
287153300,1532984911488497,-1532984624348871,-1532984624340140,27341
287255336,1532984911590544,-1532984624349533,-1532984624340140,28643
287350445,1532984911686907,-1532984624348202,-1532984624340140,23474
287454331,1532984911788135,-1532984624347688,-1532984624340140,27161
287556271,1532984911892435,-1532984624350516,-1532984624340140,28696
287652629,1532984911986328,-1532984624346801,-1532984624340140,26199
287751638,1532984912089040,-1532984624348957,-1532984624340140,23105
287851463,1532984912188236,-1532984624347924,-1532984624340140,22295
287954826,1532984912289778,-1532984624346265,-1532984624340140,22621
