timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
1087165250,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0011855436,0.021571381,-0.98636353,0.0,0.0,0.0
1087269210,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0012305492,0.023513058,-0.9863751,0.0,0.0,0.0
1087369327,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0012342818,0.024741022,-0.9863758,0.0,0.0,0.0
1087469253,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0011648583,0.024753122,-0.9863825,0.0,0.0,0.0
1087572813,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0011436819,0.025661666,-0.9863922,0.0,0.0,0.0
1087673938,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0010827072,0.02579636,-0.9863994,0.0,0.0,0.0
1087773613,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0010793973,0.027442688,-0.98640525,0.0,0.0,0.0
1087878040,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0010052437,0.027644273,-0.98641104,0.0,0.0,0.0
1087977890,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00086569437,0.02537451,-0.98640853,0.0,0.0,0.0
1088079158,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0007201294,0.022977438,-0.9864165,0.0,0.0,0.0
1088182683,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00055529247,0.019166615,-0.98641145,0.0,0.0,0.0
1088282827,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00037049295,0.013957883,-0.9864045,0.0,0.0,0.0
1088383199,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00022553491,0.009593756,-0.9864029,0.0,0.0,0.0
1088487145,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-6.729167e-05,0.0033006396,-0.98640096,0.0,0.0,0.0
1088587221,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98640716,0.0,0.0,0.0
1088687886,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9864035,0.0,0.0,0.0
1088791967,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98640925,0.0,0.0,0.0
1088992308,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98640794,0.0,0.0,0.0
1089096701,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98642105,0.0,0.0,0.0
1089196368,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9864253,0.0,0.0,0.0
1089296699,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98642164,0.0,0.0,0.0
1089401094,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9864201,0.0,0.0,0.0
1089501238,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98642004,0.0,0.0,0.0
1089601763,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98641807,0.0,0.0,0.0
1089705810,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98641133,0.0,0.0,0.0
1089805044,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9864006,0.0,0.0,0.0
1089905482,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9864037,0.0,0.0,0.0
1090010304,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98639417,0.0,0.0,0.0
1090110016,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98639125,0.0,0.0,0.0
1090210389,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98638946,0.0,0.0,0.0
1090314349,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9863874,0.0,0.0,0.0
1090413625,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9863856,0.0,0.0,0.0
1090515356,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98637325,0.0,0.0,0.0
1090619150,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98635805,0.0,0.0,0.0
1090718773,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,6.684969e-05,0.0018729611,-0.986357,0.0,0.0,0.0
1090818905,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,5.3497024e-05,0.0014138251,-0.98635465,0.0,0.0,0.0
1090923124,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,5.3111773e-05,0.0013394268,-0.98635113,0.0,0.0,0.0
1091023920,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,9.12617e-05,0.0021842984,-0.9863431,0.0,0.0,0.0
1091123641,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.00024613246,0.0055988603,-0.98634034,0.0,0.0,0.0
1091227584,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.00028482112,0.0062184823,-0.9863343,0.0,0.0,0.0
1091328022,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.00021438095,0.004474935,-0.9863273,0.0,0.0,0.0
1091428386,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.00016856471,0.003374223,-0.9863261,0.0,0.0,0.0
1091532462,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,4.0916035e-05,0.0007893736,-0.98632026,0.0,0.0,0.0
1091632713,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98631305,0.0,0.0,0.0
1091732413,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98631585,0.0,0.0,0.0
1091836379,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98631036,0.0,0.0,0.0
1091937226,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9863107,0.0,0.0,0.0
1092037328,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98630375,0.0,0.0,0.0
1092141768,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9863014,0.0,0.0,0.0
1092240834,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98630077,0.0,0.0,0.0
1092342705,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862949,0.0,0.0,0.0
1092446374,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862907,0.0,0.0,0.0
1092545996,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862878,0.0,0.0,0.0
1092646644,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98628306,0.0,0.0,0.0
1092751374,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98627937,0.0,0.0,0.0
1092854713,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862804,0.0,0.0,0.0
1092954797,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98626965,0.0,0.0,0.0
1093055915,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.98627526,0.0,0.0,0.0
1093159565,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.986286,0.0,0.0,0.0
1093258791,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862784,0.0,0.0,0.0
1093359996,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9862865,0.0,0.0,0.0
